erv_name	chromosome	start	end	strand	overlap_feature_types	overlapping_transcript_ids	overlapping_gene_ids	overlapping_gene_names	gene_biotypes	strand_overlap	closest_upstream_pc_gene
869	3	14225210	14230183	+	no_overlap	.	.	.	.	none	.
871	3	15103890	15119995	+	no_overlap	.	.	.	.	none	.
872	3	16015595	16024185	-	intron	ENST00000691919,ENST00000702609,ENST00000702645,ENST00000702385	ENSG00000287042	.	lncRNA	opposite	.
874	3	16744035	16753334	+	no_overlap	.	.	.	.	none	.
875	3	16763829	16772531	+	no_overlap	.	.	.	.	none	.
876	3	17774296	17782098	+	intron	ENST00000414318	ENSG00000131374	TBC1D5	protein_coding	opposite	.
877	3	19481979	19490450	-	exon and intron	ENST00000668274,ENST00000328405,ENST00000452398,ENST00000670571	ENSG00000287069,ENSG00000183960	KCNH8	lncRNA,protein_coding	both	.
879	3	19863059	19873478	-	no_overlap	.	.	.	.	none	.
882	3	20269428	20281828	+	intron	ENST00000635369,ENST00000634618	ENSG00000231304	SGO1-AS1	lncRNA	same	.
884	3	20363962	20371446	-	intron	ENST00000634618	ENSG00000231304	SGO1-AS1	lncRNA	opposite	.
886	3	20616327	20619030	-	intron	ENST00000634618	ENSG00000231304	SGO1-AS1	lncRNA	opposite	.
889	3	20967543	20973262	-	intron	ENST00000634837	ENSG00000231304	SGO1-AS1	lncRNA	opposite	.
890	3	21189010	21194217	-	intron	ENST00000634947	ENSG00000282987	.	lncRNA	same	.
894	3	26157597	26165557	-	no_overlap	.	.	.	.	none	.
897	3	26273645	26280860	-	no_overlap	.	.	.	.	none	.
W-151	3	27001023	27006410	+	no_overlap	.	.	.	.	none	.
901	3	27037689	27044517	-	no_overlap	.	.	.	.	none	.
902	3	27600383	27603150	+	no_overlap	.	.	.	.	none	.
906	3	32067466	32076504	+	intron	ENST00000479173	ENSG00000144645	OSBPL10	protein_coding	opposite	.
909	3	32458603	32467714	-	intron	ENST00000487007	ENSG00000153551	CMTM7	protein_coding	opposite	.
911	3	32967571	32973250	+	no_overlap	.	.	.	.	none	.
912	3	33448362	33453503	+	no_overlap	.	.	.	.	none	.
914	3	34518836	34524418	-	intron	ENST00000655650,ENST00000424786,ENST00000660434,ENST00000656055,ENST00000658600,ENST00000659779,ENST00000669904	ENSG00000226320	LINC01811	lncRNA	opposite	.
915	3	34680865	34685086	+	no_overlap	.	.	.	.	none	.
916	3	34799113	34807613	+	no_overlap	.	.	.	.	none	.
917	3	35874402	35880025	-	no_overlap	.	.	.	.	none	.
918	3	36130979	36135476	+	no_overlap	.	.	.	.	none	.
920	3	36335366	36342727	-	no_overlap	.	.	.	.	none	.
921	3	37205387	37210420	+	exon and intron	ENST00000702636	ENSG00000290046	.	lncRNA	same	.
923	3	38071422	38077656	-	intron	ENST00000308059,ENST00000346219,ENST00000440294,ENST00000447130,ENST00000469151	ENSG00000008226	DLEC1	protein_coding	opposite	.
W-16	3	38289416	38297325	-	intron	ENST00000448498,ENST00000466887	ENSG00000144671	SLC22A14	protein_coding	opposite	.
925	3	38422224	38425408	+	no_overlap	.	.	.	.	none	XYLB
926	3	38441200	38444753	-	no_overlap	.	.	.	.	none	.
927	3	39343714	39353493	+	intron	ENST00000655387	ENSG00000287780	.	lncRNA	opposite	.
928	3	39575102	39583622	-	no_overlap	.	.	.	.	none	.
930	3	40560870	40570272	+	intron	ENST00000490457	ENSG00000172888	ZNF621	protein_coding	same	.
934	3	44329727	44340878	-	exon and intron	ENST00000309765,ENST00000607510,ENST00000383746,ENST00000417237,ENST00000494638,ENST00000396078,ENST00000462230,ENST00000412611,ENST00000444602,ENST00000342649,ENST00000431657,ENST00000462612,ENST00000417768	ENSG00000173769,ENSG00000271937,ENSG00000179152	TOPAZ1,TCAIM	protein_coding,lncRNA	both	.
935	3	44542481	44550763	-	no_overlap	.	.	.	.	none	.
936	3	44855960	44861808	-	intron	ENST00000422209	ENSG00000163808	KIF15	protein_coding	opposite	.
938	3	46001398	46007906	+	no_overlap	.	.	.	.	none	.
937	3	46046256	46054342	-	exon and intron	ENST00000683768	ENSG00000173578	XCR1	protein_coding	same	.
939	3	46111370	46118653	-	no_overlap	.	.	.	.	none	.
940	3	46244374	46252065	-	intron	ENST00000357422,ENST00000452454,ENST00000457243,ENST00000484025,ENST00000545097,ENST00000395940	ENSG00000183625	CCR3	protein_coding	opposite	.
941	3	46329667	46332857	-	no_overlap	.	.	.	.	none	.
942	3	46387405	46393402	-	exon and intron	ENST00000691693,ENST00000686150,ENST00000451485,ENST00000701879	ENSG00000223552	CCR5AS	lncRNA	same	.
944	3	46417555	46423902	-	exon and intron	ENST00000635852,ENST00000661642	ENSG00000283646	LINC02009	lncRNA	same	.
943	3	46426676	46433564	+	no_overlap	.	.	.	.	none	.
947	3	48272764	48278859	+	intron	ENST00000427617,ENST00000412564,ENST00000440261,ENST00000448461	ENSG00000164048	ZNF589	protein_coding	same	ZNF589
W-17	3	48330524	48336241	-	exon and intron	ENST00000434006	ENSG00000229453	SPINK8	protein_coding	same	.
948	3	48722937	48730005	-	exon and intron	ENST00000433104	ENSG00000068745	IP6K2	protein_coding	same	.
950	3	49221067	49229119	-	intron	ENST00000493870,ENST00000296449,ENST00000366429,ENST00000438782,ENST00000452691	ENSG00000173421	IHO1	protein_coding	opposite	.
957	3	51741982	51750532	+	no_overlap	.	.	.	.	none	.
958	3	51849802	51857061	+	no_overlap	.	.	.	.	none	.
960	3	54070308	54076496	+	intron	ENST00000666932	ENSG00000286353	.	lncRNA	opposite	.
962	3	54634481	54640204	-	exon and intron	ENST00000583516,ENST00000468658,ENST00000471363,ENST00000474759,ENST00000477024,ENST00000490478	ENSG00000265992,ENSG00000157445	ESRG,CACNA2D3	lncRNA,protein_coding	both	.
965	3	57304051	57310296	+	exon and intron	ENST00000494758,ENST00000351747,ENST00000466540,ENST00000495027	ENSG00000174844	DNAH12	protein_coding	opposite	.
967	3	58585013	58595736	+	exon and intron	ENST00000447756,ENST00000465970,ENST00000474531,ENST00000649301	ENSG00000168309	FAM107A	protein_coding	opposite	.
971	3	67037861	67044184	-	no_overlap	.	.	.	.	none	.
973	3	67833378	67838443	+	intron	ENST00000482677	ENSG00000241316	SUCLG2-DT	lncRNA	same	.
975	3	70433896	70440419	-	intron	ENST00000641053	ENSG00000240405	SAMMSON	lncRNA	opposite	.
976	3	70537122	70540939	-	no_overlap	.	.	.	.	none	.
977	3	72023116	72028917	+	intron	ENST00000666244	ENSG00000241163	LINC00877	lncRNA	opposite	.
978	3	73152820	73159745	-	no_overlap	.	.	.	.	none	.
980	3	74825205	74831248	+	no_overlap	.	.	.	.	none	.
W-18	3	74872831	74878086	-	no_overlap	.	.	.	.	none	.
982	3	75136270	75144660	+	no_overlap	.	.	.	.	none	.
983	3	75360055	75365719	-	exon and intron	ENST00000641370,ENST00000641331	ENSG00000291222	.	lncRNA	same	.
985	3	75551277	75559986	+	intron	ENST00000608389	ENSG00000290410	.	lncRNA	opposite	.
987	3	75602236	75607614	-	no_overlap	.	.	.	.	none	.
988	3	75804822	75808628	-	no_overlap	.	.	.	.	none	.
989	3	76529467	76538616	-	intron	ENST00000471893,ENST00000487694,ENST00000602589,ENST00000696629,ENST00000696630,ENST00000475334	ENSG00000185008	ROBO2	protein_coding	opposite	.
990	3	77919495	77923363	+	no_overlap	.	.	.	.	none	.
991	3	78323941	78332553	+	no_overlap	.	.	.	.	none	.
992	3	78581208	78588919	-	no_overlap	.	.	.	.	none	.
994	3	79051951	79060460	+	intron	ENST00000464233	ENSG00000169855	ROBO1	protein_coding	opposite	.
995	3	79772981	79780773	+	no_overlap	.	.	.	.	none	.
996	3	80307501	80315397	+	no_overlap	.	.	.	.	none	.
997	3	80386504	80389944	+	no_overlap	.	.	.	.	none	.
999	3	82640478	82651810	+	no_overlap	.	.	.	.	none	.
1002	3	83270125	83283646	-	no_overlap	.	.	.	.	none	.
1004	3	84186511	84194839	-	no_overlap	.	.	.	.	none	.
1007	3	86536923	86543598	-	no_overlap	.	.	.	.	none	.
1008	3	86691170	86697005	-	no_overlap	.	.	.	.	none	.
1012	3	87567158	87578578	+	no_overlap	.	.	.	.	none	.
1011	3	87607604	87616289	-	no_overlap	.	.	.	.	none	.
1013	3	87733674	87741290	-	intron	ENST00000462792,ENST00000655850,ENST00000667503	ENSG00000239572	.	lncRNA	same	.
1014	3	87927736	87943931	-	intron	ENST00000319595	ENSG00000179097	HTR1F	protein_coding	opposite	.
1017	3	90083098	90086688	+	no_overlap	.	.	.	.	none	.
1023	3	93938045	93955754	+	intron	ENST00000648381,ENST00000472684,ENST00000348974,ENST00000394236,ENST00000407433,ENST00000647936,ENST00000649103,ENST00000650591,ENST00000648853	ENSG00000184500	PROS1	protein_coding	opposite	.
1024	3	94292380	94301159	+	no_overlap	.	.	.	.	none	.
1025	3	94647906	94654790	+	no_overlap	.	.	.	.	none	.
1027	3	95587595	95595445	-	no_overlap	.	.	.	.	none	.
1031	3	96297744	96307311	+	no_overlap	.	.	.	.	none	.
W-19	3	96666473	96675444	-	no_overlap	.	.	.	.	none	.
1033	3	97269332	97277375	-	intron	ENST00000389672	ENSG00000080224	EPHA6	protein_coding	opposite	.
1035	3	98191272	98198747	+	exon and intron	ENST00000685464,ENST00000689432,ENST00000503164	ENSG00000289078,ENSG00000249321	OR5H5P	lncRNA,unprocessed_pseudogene	same	.
1036	3	98242355	98249303	+	intron	ENST00000508616	ENSG00000251088	.	lncRNA	same	.
1041	3	100442424	100451579	-	intron	ENST00000489752,ENST00000383693,ENST00000466996	ENSG00000206535	LNP1	protein_coding	opposite	.
1043	3	101632044	101642053	+	no_overlap	.	.	.	.	none	.
1045	3	101692113	101701253	+	exon and intron	ENST00000667844,ENST00000685383	ENSG00000244119	PDCL3P4	transcribed_processed_pseudogene	same	.
1046	3	102735684	102742206	+	no_overlap	.	.	.	.	none	.
1047	3	103048258	103057544	-	no_overlap	.	.	.	.	none	.
1048	3	103208974	103215821	+	no_overlap	.	.	.	.	none	.
1049	3	103594505	103600851	-	no_overlap	.	.	.	.	none	.
1051	3	104283482	104286311	-	no_overlap	.	.	.	.	none	.
1054	3	104439932	104445795	-	no_overlap	.	.	.	.	none	.
1056	3	106922751	106928387	-	exon and intron	ENST00000654704,ENST00000662816,ENST00000484698,ENST00000655451,ENST00000656235,ENST00000656342,ENST00000656555,ENST00000657806,ENST00000658929,ENST00000659129,ENST00000659503,ENST00000659605,ENST00000659859,ENST00000660263,ENST00000660353,ENST00000660515,ENST00000660862,ENST00000662123,ENST00000662455,ENST00000664169,ENST00000664426,ENST00000666429,ENST00000666687,ENST00000667805,ENST00000667931,ENST00000668760,ENST00000668928,ENST00000668963,ENST00000670214,ENST00000671604,ENST00000671678,ENST00000671682	ENSG00000242759	LINC00882	lncRNA	same	.
1058	3	107564214	107572787	-	intron	ENST00000458458,ENST00000427402,ENST00000325805,ENST00000402163,ENST00000402543,ENST00000415149,ENST00000416476,ENST00000431630,ENST00000449335,ENST00000454540,ENST00000456419,ENST00000456817,ENST00000485939	ENSG00000114439	BBX	protein_coding	opposite	.
1060	3	110964489	110969942	-	exon and intron	ENST00000690584,ENST00000474769,ENST00000476301,ENST00000485473	ENSG00000289069,ENSG00000242242	NECTIN3-AS1	lncRNA	same	.
1061	3	111523393	111530913	+	intron	ENST00000460744	ENSG00000153283	CD96	protein_coding	same	.
1063	3	112301854	112308520	+	exon and intron	ENST00000498032,ENST00000607456	ENSG00000239482	.	lncRNA	same	.
1064	3	112413019	112423381	-	no_overlap	.	.	.	.	none	.
1066	3	112690298	112701577	+	exon and intron	ENST00000477975	ENSG00000242308	MAT2AP1	unprocessed_pseudogene	opposite	.
K-12	3	113024275	113033435	-	intron	ENST00000460707,ENST00000470313,ENST00000496389,ENST00000686071,ENST00000467342,ENST00000655310,ENST00000700984	ENSG00000240057	NEPRO-AS1	lncRNA	opposite	.
1068	3	113346632	113354655	+	intron	ENST00000393845,ENST00000490481	ENSG00000206530	CFAP44	protein_coding	opposite	.
1069	3	113521756	113529684	-	no_overlap	.	.	.	.	none	.
1073	3	115742107	115757987	+	exon	ENST00000700882	ENSG00000289153	.	lncRNA	opposite	.
1074	3	115789962	115799166	-	exon and intron	ENST00000701165,ENST00000688236,ENST00000701422,ENST00000700882,ENST00000690885	ENSG00000289153	.	lncRNA	same	LSAMP
1075	3	116105361	116111232	-	intron	ENST00000333617,ENST00000474851,ENST00000490035	ENSG00000185565	LSAMP	protein_coding	same	.
1077	3	118842461	118852150	+	no_overlap	.	.	.	.	none	.
1079	3	119683826	119695879	+	no_overlap	.	.	.	.	none	.
1080	3	119978069	119990309	+	exon and intron	ENST00000679337,ENST00000678350,ENST00000678608,ENST00000264235,ENST00000316626,ENST00000650344,ENST00000677128,ENST00000677788,ENST00000678245,ENST00000678439,ENST00000676775,ENST00000678787,ENST00000677878,ENST00000677169,ENST00000678483	ENSG00000288667,ENSG00000082701,ENSG00000288662	GSK3B	lncRNA,protein_coding	opposite	.
1081	3	120038401	120045736	+	exon and intron	ENST00000491262,ENST00000677169,ENST00000678483,ENST00000677128,ENST00000679131,ENST00000264235,ENST00000316626,ENST00000650344,ENST00000677530,ENST00000677788,ENST00000678245,ENST00000678439,ENST00000677034	ENSG00000241546,ENSG00000082701,ENSG00000288662	RFKP3,GSK3B	processed_pseudogene,protein_coding,lncRNA	both	.
1083	3	120489513	120496605	+	intron	ENST00000659560	ENSG00000286735	.	lncRNA	same	.
1084	3	120616845	120623596	-	no_overlap	.	.	.	.	none	.
1086	3	121069122	121079507	-	intron	ENST00000273666,ENST00000461772,ENST00000471262,ENST00000471454,ENST00000472879,ENST00000492541,ENST00000497029,ENST00000707001	ENSG00000145087	STXBP5L	protein_coding	opposite	.
1090	3	121396265	121398658	-	intron	ENST00000273666,ENST00000471262,ENST00000471454,ENST00000472879,ENST00000492541,ENST00000497029,ENST00000707001,ENST00000666486	ENSG00000145087,ENSG00000287022	STXBP5L	protein_coding,lncRNA	both	.
1091	3	121603091	121615941	-	intron	ENST00000338040	ENSG00000163833	FBXO40	protein_coding	opposite	.
1094	3	124752567	124758183	-	no_overlap	.	.	.	.	none	ITGB5
1096	3	125695362	125698911	+	no_overlap	.	.	.	.	none	.
1098	3	125717295	125722966	+	no_overlap	.	.	.	.	none	.
1097	3	125740221	125745590	+	no_overlap	.	.	.	.	none	.
1100	3	125863795	125869503	+	exon and intron	ENST00000616043,ENST00000487446,ENST00000657594,ENST00000664857,ENST00000468859,ENST00000601985,ENST00000599350,ENST00000594843,ENST00000625484	ENSG00000241288,ENSG00000241278	LINC02614,ENPP7P4	lncRNA,transcribed_unprocessed_pseudogene	both	.
K-19	3	125890457	125899596	+	intron	ENST00000664857,ENST00000487446,ENST00000628013,ENST00000626334,ENST00000625484	ENSG00000241288,ENSG00000241278	LINC02614,ENPP7P4	lncRNA,transcribed_unprocessed_pseudogene	both	.
1104	3	126093176	126102115	+	exon and intron	ENST00000507924,ENST00000509064,ENST00000508835,ENST00000507008	ENSG00000250012,ENSG00000114544	SLC41A3-AS1,SLC41A3	lncRNA,protein_coding	both	.
1108	3	127892821	127899641	+	intron	ENST00000648300	ENSG00000074416	MGLL	protein_coding	opposite	.
1110	3	128828221	128834858	-	no_overlap	.	.	.	.	none	.
1109	3	128836994	128842027	-	no_overlap	.	.	.	.	none	.
1111	3	128854507	128860206	-	exon and intron	ENST00000703686,ENST00000567253,ENST00000703685	ENSG00000290242,ENSG00000261159,ENSG00000290241	.	lncRNA	both	.
1112	3	128919295	128929231	+	exon and intron	ENST00000681583,ENST00000511438,ENST00000637488,ENST00000645291,ENST00000669741	ENSG00000177646,ENSG00000114656	ACAD9,CFAP92	protein_coding	both	ACAD9
1113	3	128959810	128965383	+	intron	ENST00000511438,ENST00000511204,ENST00000645291	ENSG00000114656	CFAP92	protein_coding	opposite	.
1114	3	129168484	129171834	-	exon and intron	ENST00000422453,ENST00000502976,ENST00000446936,ENST00000451728,ENST00000500450,ENST00000504813,ENST00000441626,ENST00000502372,ENST00000512338,ENST00000507573	ENSG00000169714	CNBP	protein_coding	same	.
1115	3	129901264	129907244	+	exon and intron	ENST00000605698,ENST00000605830,ENST00000671446,ENST00000686063,ENST00000603884,ENST00000653304,ENST00000604747,ENST00000690344	ENSG00000271270	TMCC1-DT	lncRNA	same	.
1116	3	130024230	130029463	-	no_overlap	.	.	.	.	none	.
1117	3	130059216	130064971	+	no_overlap	.	.	.	.	none	.
1118	3	130141302	130147638	-	intron	ENST00000665912,ENST00000670900,ENST00000668664	ENSG00000249846	LINC02021	lncRNA	opposite	.
1119	3	130176661	130184109	-	exon and intron	ENST00000702493,ENST00000671047,ENST00000670900	ENSG00000288111,ENSG00000249846	LINC02021	lncRNA	opposite	.
1120	3	130444247	130453246	-	intron	ENST00000312481,ENST00000373157,ENST00000512482,ENST00000512836	ENSG00000172752	COL6A5	protein_coding	opposite	.
W-20	3	131196859	131199106	-	intron	ENST00000383366,ENST00000508196,ENST00000510474,ENST00000510688,ENST00000510769,ENST00000510823,ENST00000514915	ENSG00000114670	NEK11	protein_coding	opposite	.
1122	3	131510662	131514160	-	intron	ENST00000661875,ENST00000669677,ENST00000662605,ENST00000666150,ENST00000660541,ENST00000655982,ENST00000653985,ENST00000655300,ENST00000663361,ENST00000666946	ENSG00000248468	.	lncRNA	opposite	.
1124	3	132296070	132303493	-	no_overlap	.	.	.	.	none	.
1127	3	133429747	133437214	+	intron	ENST00000302334,ENST00000515542	ENSG00000170819,ENSG00000249993	BFSP2,BFSP2-AS1	protein_coding,lncRNA	both	.
1128	3	134020019	134027485	+	intron	ENST00000310926,ENST00000462770,ENST00000478651,ENST00000481359,ENST00000493729,ENST00000478662,ENST00000464676	ENSG00000174640	SLCO2A1	protein_coding	opposite	.
W-82	3	135935347	135938908	+	no_overlap	.	.	.	.	none	.
1130	3	136217440	136223584	-	no_overlap	.	.	.	.	none	.
1132	3	137595585	137602352	+	no_overlap	.	.	.	.	none	.
1136	3	140872141	140879194	+	no_overlap	.	.	.	.	none	.
1138	3	141205015	141211726	+	no_overlap	.	.	.	.	none	.
ERVW-3-2013	3	141819788	141821513	+	no_overlap	.	.	.	.	none	GRK7
W-83	3	142438177	142443654	+	intron	ENST00000264951,ENST00000392981,ENST00000463916,ENST00000470537,ENST00000486211,ENST00000465074	ENSG00000114127	XRN1	protein_coding	opposite	.
1143	3	143797678	143805775	+	intron	ENST00000474151,ENST00000316549,ENST00000474727	ENSG00000181804	SLC9A9	protein_coding	opposite	.
1148	3	144900720	144908765	-	no_overlap	.	.	.	.	none	.
1149	3	145112475	145119227	+	no_overlap	.	.	.	.	none	.
1151	3	145551227	145556922	-	no_overlap	.	.	.	.	none	.
ERVH3q24	3	145710494	145716095	+	no_overlap	.	.	.	.	none	.
1153	3	145748676	145755946	+	no_overlap	.	.	.	.	none	.
1156	3	146333467	146339816	+	no_overlap	.	.	.	.	none	.
1154	3	146353853	146359465	+	no_overlap	.	.	.	.	none	.
1155	3	146362289	146366792	+	no_overlap	.	.	.	.	none	.
1157	3	146407145	146411603	-	intron	ENST00000463633,ENST00000490344,ENST00000482888	ENSG00000163746,ENSG00000241358	PLSCR2	protein_coding,transcribed_processed_pseudogene	same	.
1158	3	147717741	147725798	+	intron	ENST00000693447,ENST00000689363	ENSG00000289451	.	lncRNA	opposite	.
1159	3	147877266	147884289	-	no_overlap	.	.	.	.	none	.
1161	3	148128357	148136351	+	no_overlap	.	.	.	.	none	.
1160	3	148151528	148157665	+	no_overlap	.	.	.	.	none	.
1162	3	148414236	148420100	+	intron	ENST00000648979	ENSG00000285557	.	lncRNA	opposite	.
1163	3	148552181	148567777	-	intron	ENST00000648979	ENSG00000285557	.	lncRNA	same	.
1164	3	148570643	148578146	+	intron	ENST00000648979	ENSG00000285557	.	lncRNA	opposite	.
1166	3	149287866	149295516	+	exon and intron	ENST00000482639,ENST00000489011	ENSG00000240216,ENSG00000244468	CPHL1P,TM4SF18-AS1	transcribed_unitary_pseudogene,lncRNA	both	.
1168	3	149752187	149761298	-	exon and intron	ENST00000490008,ENST00000469896,ENST00000473414,ENST00000483708,ENST00000491617,ENST00000463077,ENST00000446160	ENSG00000114744,ENSG00000206199	COMMD2,ANKUB1	protein_coding	same	ANKUB1
1170	3	150856939	150862604	+	intron	ENST00000663257,ENST00000476886	ENSG00000244265,ENSG00000239265	SIAH2-AS1,CLRN1-AS1	lncRNA	same	.
1171	3	151465883	151475799	+	no_overlap	.	.	.	.	none	.
1174	3	151665733	151669272	-	no_overlap	.	.	.	.	none	.
1175	3	151702443	151705104	+	no_overlap	.	.	.	.	none	.
1176	3	151806148	151812025	+	exon and intron	ENST00000485020,ENST00000483843,ENST00000475855	ENSG00000290514,ENSG00000242908	AADACL2-AS1	lncRNA	both	.
1178	3	152559624	152565247	+	no_overlap	.	.	.	.	none	.
1179	3	152596603	152605968	+	no_overlap	.	.	.	.	none	.
1180	3	153227332	153232106	-	no_overlap	.	.	.	.	none	.
1182	3	153820581	153829132	-	intron	ENST00000488210	ENSG00000238755	LINC02006	lncRNA	same	.
1184	3	154366897	154378402	+	intron	ENST00000389740	ENSG00000174948	GPR149	protein_coding	opposite	.
W-84	3	154978074	154979301	+	no_overlap	.	.	.	.	none	.
1186	3	155273425	155280798	-	no_overlap	.	.	.	.	none	.
1188	3	156620460	156626567	+	no_overlap	.	.	.	.	none	.
1189	3	157579427	157587863	-	exon and intron	ENST00000670759,ENST00000461040,ENST00000651011,ENST00000651329	ENSG00000286892,ENSG00000174899	SLC66A1L	lncRNA,transcribed_unitary_pseudogene	both	.
1194	3	161719767	161728303	-	intron	ENST00000665274	ENSG00000288087	.	lncRNA	opposite	.
1196	3	161847676	161851962	-	no_overlap	.	.	.	.	none	.
1197	3	161974609	161978770	-	no_overlap	.	.	.	.	none	.
1198	3	162044735	162052582	-	no_overlap	.	.	.	.	none	.
1199	3	162154681	162159189	-	no_overlap	.	.	.	.	none	.
1200	3	162323662	162330878	+	no_overlap	.	.	.	.	none	.
1201	3	162576246	162588011	+	no_overlap	.	.	.	.	none	.
1202	3	162712590	162718243	+	no_overlap	.	.	.	.	none	.
1203	3	162722650	162727081	-	no_overlap	.	.	.	.	none	.
1205	3	163691959	163698982	-	no_overlap	.	.	.	.	none	.
1206	3	163804218	163810425	+	no_overlap	.	.	.	.	none	.
1208	3	163907529	163917444	+	no_overlap	.	.	.	.	none	.
1209	3	164017708	164026159	-	no_overlap	.	.	.	.	none	.
1210	3	164216083	164220126	-	no_overlap	.	.	.	.	none	.
1211	3	164334100	164341632	-	no_overlap	.	.	.	.	none	.
1212	3	164342191	164347864	-	no_overlap	.	.	.	.	none	.
1216	3	164813384	164818652	+	intron	ENST00000497379	ENSG00000241767	LINC01324	lncRNA	opposite	.
1217	3	165620766	165623493	-	intron	ENST00000496693,ENST00000651449	ENSG00000244128	LINC01322	lncRNA	opposite	.
1219	3	166499437	166506425	-	no_overlap	.	.	.	.	none	.
1220	3	166822765	166829672	-	no_overlap	.	.	.	.	none	.
1223	3	167177008	167183906	-	no_overlap	.	.	.	.	none	.
1224	3	167266301	167274617	+	intron	ENST00000492642,ENST00000464922,ENST00000494898,ENST00000307529,ENST00000392764,ENST00000392766,ENST00000392767,ENST00000455345,ENST00000465071,ENST00000674903,ENST00000675490	ENSG00000169064	ZBBX	protein_coding	opposite	.
1225	3	167422681	167431167	+	no_overlap	.	.	.	.	none	.
1227	3	168562104	168571031	-	intron	ENST00000431685,ENST00000506760	ENSG00000206120	EGFEM1P	transcribed_unitary_pseudogene	opposite	.
1229	3	170671661	170678282	-	intron	ENST00000486975,ENST00000480067,ENST00000644993	ENSG00000285218,ENSG00000285051	SLC7A14-AS1	protein_coding,lncRNA	opposite	.
1230	3	170681795	170689384	-	intron	ENST00000486975,ENST00000480067,ENST00000644993	ENSG00000285218,ENSG00000285051	SLC7A14-AS1	protein_coding,lncRNA	opposite	.
1233	3	170815976	170824559	-	intron	ENST00000486975,ENST00000644993	ENSG00000285218,ENSG00000285051	SLC7A14-AS1	protein_coding,lncRNA	opposite	.
1234	3	171576671	171582177	+	no_overlap	.	.	.	.	none	.
1236	3	172719013	172730461	+	exon and intron	ENST00000663800	ENSG00000287012	.	lncRNA	same	.
1237	3	173155215	173161544	-	intron	ENST00000447709	ENSG00000237473	.	lncRNA	opposite	.
1239	3	173275812	173281646	+	intron	ENST00000447709	ENSG00000237473	.	lncRNA	same	.
1242	3	175053398	175055792	-	intron	ENST00000434257,ENST00000454872,ENST00000485853,ENST00000473253	ENSG00000177694	NAALADL2	protein_coding	opposite	.
1244	3	175827525	175836206	+	no_overlap	.	.	.	.	none	.
1245	3	176062508	176071373	+	exon	ENST00000416584,ENST00000604457	ENSG00000236357,ENSG00000271413	EI24P1,EI24P6	processed_pseudogene	both	.
1246	3	176321617	176327363	-	exon and intron	ENST00000690443,ENST00000693515,ENST00000687649	ENSG00000288895	.	lncRNA	same	.
1247	3	176505837	176515568	-	exon and intron	ENST00000636162,ENST00000652470	ENSG00000283333,ENSG00000223715	MIR7977,LINC01208	miRNA,lncRNA	both	.
1248	3	177657043	177671140	-	exon and intron	ENST00000661450,ENST00000439009,ENST00000661409,ENST00000442937,ENST00000445673,ENST00000656037,ENST00000665837,ENST00000671331	ENSG00000228221	LINC00578	lncRNA	opposite	.
1249	3	178207466	178214645	+	intron	ENST00000685251,ENST00000701503,ENST00000651749,ENST00000439810,ENST00000414475	ENSG00000223930	.	lncRNA	opposite	.
1250	3	179055106	179062330	+	intron	ENST00000311417,ENST00000414084,ENST00000432729,ENST00000652290	ENSG00000172667	ZMAT3	protein_coding	opposite	.
1251	3	179515304	179527182	+	no_overlap	.	.	.	.	none	.
1256	3	185014728	185019517	-	intron	ENST00000287546,ENST00000436792,ENST00000446204,ENST00000492449,ENST00000625842	ENSG00000156931	VPS8	protein_coding	opposite	.
1257	3	185105202	185111049	+	intron	ENST00000335012	ENSG00000187068	C3orf70	protein_coding	opposite	.
1259	3	185372295	185380593	-	intron	ENST00000265026,ENST00000438053,ENST00000424227,ENST00000447637,ENST00000446828,ENST00000428617,ENST00000433092,ENST00000443863	ENSG00000073803	MAP3K13	protein_coding	opposite	.
K-15	3	185562546	185571727	-	no_overlap	.	.	.	.	none	.
1262	3	186657773	186669162	+	exon and intron	ENST00000468154,ENST00000428501,ENST00000455926,ENST00000232003,ENST00000626006,ENST00000627830,ENST00000625303,ENST00000625826,ENST00000629106,ENST00000630864,ENST00000625877,ENST00000495413,ENST00000630315,ENST00000630726,ENST00000626649,ENST00000629451,ENST00000627469,ENST00000625741,ENST00000626845,ENST00000628253,ENST00000630331,ENST00000630178,ENST00000625386,ENST00000626633,ENST00000628505,ENST00000628190	ENSG00000113905,ENSG00000197099	HRG,HRG-AS1	protein_coding,lncRNA	both	.
1264	3	186865306	186875043	+	no_overlap	.	.	.	.	none	.
1265	3	187174195	187181059	-	exon and intron	ENST00000433055	ENSG00000163923	RPL39L	protein_coding	same	.
1266	3	187463746	187472000	-	no_overlap	.	.	.	.	none	.
1267	3	190144599	190152062	+	exon and intron	ENST00000412203,ENST00000691942	ENSG00000225764	P3H2-AS1	lncRNA	same	.
1268	3	190920159	190928374	+	no_overlap	.	.	.	.	none	.
1269	3	190987336	190994562	-	no_overlap	.	.	.	.	none	.
1271	3	191185384	191191000	+	no_overlap	.	.	.	.	none	.
W-86	3	191658782	191665592	+	no_overlap	.	.	.	.	none	.
1274	3	191892185	191901268	-	no_overlap	.	.	.	.	none	.
1275	3	192069187	192076868	-	no_overlap	.	.	.	.	none	.
1276	3	192995635	193001828	+	no_overlap	.	.	.	.	none	.
